	P1.1	P1.2	P1.3	P1.4	P2.1	P2.2	P2.3	P2.4	P2.5	P2.6	P2.7	P3.1	P3.2	P3.3	P3.4	P4.1	P4.2	P4.3	P4.4	P4.5	P6.1	P6.2	P6.3	P6.4	P6.5	P7.1.1	P7.1.2	P7.1.3	P7.1.4
Chatenaytrienin_1	0.12105	0.49727	-0.034748	-0.65981	-0.61906	-0.52985	0.52937	-0.62222	-0.51003	-0.80376	1.1477	-0.40886	0.55387	0.77155	-0.49851	-0.1862	1.3994	-1.0876	-0.53399	-0.1497	-0.42374	-0.21444	0.64298	-0.27618	-0.28613	-1.3968	-0.96543	0.5726	-0.42227
Piperacillin	-0.29041	-0.28258	-0.19127	-0.19379	-0.18926	-0.22513	-0.032697	-0.25158	-0.28194	-0.25218	-0.18714	-0.26494	-0.2739	-0.051596	-0.21134	-0.27806	-0.1792	-0.28021	-0.20889	-0.19522	-0.28013	-0.23789	-0.21846	-0.27162	-0.18569	-0.27628	-0.25675	-0.039416	-0.21294
Cortolone-3-glucuronide	-0.34294	-0.61519	-0.77712	0.32962	0.050144	0.63834	2.8408	-0.33997	-0.45926	-0.40011	-0.23053	-0.27348	-0.1742	2.4584	-0.39935	-0.33695	1.5977	-0.44449	-0.40773	-0.32615	-0.52022	0.57374	0.51134	0.30575	0.22851	-0.64081	-0.53629	2.7415	-0.43302
"Methyl_3,4-dicaffeoylquinate"	-0.84594	-1.2384	0.47937	1.6096	-0.35845	1.4956	1.8546	-0.75825	-0.52246	-0.93031	-1.2948	-0.93995	-0.78843	1.6838	0.083376	-1.1293	0.61727	-1.1198	0.15296	0.16923	-1.1654	0.84499	-0.069577	-0.61876	1.6963	-1.1233	-0.8778	1.8673	-0.012225
"4-{[4-(Diethylamino)phenyl](2,4-disulfophenyl)methylene}-N,N-diethyl-2,5-cy..."	-1.2728	-1.057	-0.24081	0.4151	0.62575	0.037153	1.7047	0.1077	-0.6507	-0.3886	-1.5306	-0.38615	-0.96374	1.5412	0.72934	-1.3292	0.39485	-1.3361	0.67896	0.74169	-0.95501	-0.20697	0.62806	-0.96467	0.83769	-0.71742	-0.18621	1.5909	0.41734
5''''-(4-Hydroxy-(E)-cinnamoyl)_alpha-L-arabinofuranosyl-(1->3)-beta-D-xylo...	-0.95617	-0.77816	-0.4924	0.067159	-0.015828	0.99807	1.9918	-0.49294	-0.84144	-0.46549	-0.93185	-0.65506	-0.52175	1.808	-0.39797	-0.9163	1.5757	-0.86324	-0.41264	-0.31085	-0.80204	1.1009	0.20509	-0.77513	0.45098	-0.77569	-0.49061	1.9628	-0.45453
Phloretin_xylosyl-galactoside	-0.56929	-0.6409	-0.16321	0.22678	0.21531	-0.11517	0.91905	-0.18342	0.80949	-0.18689	-0.52453	0.012981	-0.61091	0.72467	-0.13782	-0.18435	-0.039543	-0.73406	-0.13097	-0.10452	-0.41457	-0.13417	-0.024604	-0.5522	0.10623	-0.4716	-0.21937	0.91713	-0.18876
<i>para</i>-hydroxyatorvastatin	-0.24062	-0.43408	-0.42574	-0.36043	-0.29386	-0.21628	-0.3174	-0.33761	-0.31267	-0.34087	2.9434	-0.34677	-0.41988	-0.32915	-0.33732	-0.4657	-0.26758	-0.43957	-0.36387	-0.34141	-0.20865	-0.18603	-0.11493	-0.28672	-0.36724	-0.39	-0.35782	-0.32163	-0.40101
Mulberrofuran_Q	-1.042	-0.94042	0.74498	1.0735	0.39892	0.15455	2.6023	-0.15117	-0.92098	-0.27253	-0.87893	-0.29436	-1.0273	2.1819	0.1142	-0.53217	0.47227	-0.96922	0.23769	0.059199	-0.81816	-0.029066	0.62542	-0.88354	1.0948	-0.4744	-0.38868	2.4562	0.048277
Ferrocytochrome	-0.85617	-1.1579	0.70176	0.38019	0.82596	0.30486	2.0341	-0.47876	-0.80088	-0.6409	-1.3499	-0.80933	-0.85134	1.5456	-0.35967	-1.1481	-0.38152	-1.1587	-0.31695	-0.25962	-1.0913	-0.065753	-0.34727	-1.0801	0.55555	-0.93641	-0.69337	1.6349	-0.4792
Castacrenin_A	-0.42123	-1.2396	5.2624	0.015024	-0.31305	-0.21565	-0.2553	-0.43008	0.30053	-0.41334	-0.78435	-0.25148	-1.2553	0.042095	0.43925	-0.77095	-0.63285	-0.9995	0.50299	0.52061	-0.31981	0.044771	0.089111	-0.50608	0.25673	-0.60596	-0.20906	0.0051821	-0.056141
Sucrose_monostearate	1.7614	-0.54502	-1.0768	-0.2889	-0.23686	-0.085893	0.25089	-0.29488	-1.1753	-0.32905	1.5173	-0.96232	-0.44279	0.46681	-0.021551	-0.59097	0.88447	-0.0083332	-0.37542	-0.34207	-0.40919	-0.6733	0.48652	0.36804	-0.82158	-0.92663	-0.74321	0.39155	-0.37291
3''-Sialyllactose	-0.35272	-0.72391	-0.66359	1.9701	0.478	0.98609	1.1037	-0.38424	1.5211	-0.38609	1.4114	-0.66899	-0.29577	0.91943	-0.35578	-0.71361	2.2102	-0.58222	-0.39773	-0.23327	-0.69826	0.43645	6.8074	-0.42999	0.89222	-0.66554	-0.53336	1.1958	-0.37906
Myricanol_5-laminaribioside	-1.3007	-0.78497	-1.5679	0.96339	1.1056	1.1646	1.5263	0.54447	-1.1649	0.51337	-0.049292	-0.012104	-0.77141	1.2525	-0.37366	-1.2109	0.71043	-1.2158	-0.2278	-0.23472	-0.17062	0.26954	-0.38373	-0.57575	1.2541	-0.18953	0.38848	1.4629	-0.50429
DG(i-20:0/a-25:0/0:0)	-0.80244	-0.3427	-0.55818	0.065453	0.12081	-0.078461	1.0763	-0.53791	-0.26441	-0.46204	-0.86562	-0.43757	-0.40937	0.84044	-0.36987	-0.35973	-0.33177	0.0030687	-0.53102	-0.4503	-0.53623	-0.24966	-0.21724	-0.55547	0.2894	-0.48622	-0.21724	0.45962	-0.26703
CE(15M5)	-0.50434	-0.68522	-0.28698	0.31524	-0.55063	0.018156	0.45317	-0.23306	0.84957	-0.50985	-1.0864	-0.27366	-0.27893	0.51915	0.19108	-0.3035	-0.71822	0.099838	-0.42718	-0.12897	-0.37583	-0.19272	-0.5017	-0.42643	-0.15716	0.0059477	-0.25735	0.45895	-0.16524
"5,13-bis(3-hydroxyphenyl)-18-[3,5,7-trihydroxy-2-(3-hydroxyphenyl)-3,4-dihy..."	-0.68031	-0.8181	5.1677	0.23614	0.2604	-0.19932	1.1363	-0.12616	-0.46653	-0.31582	-0.71186	-0.095141	-0.7947	0.90929	-0.13288	-0.63557	-0.24855	-0.74749	0.21147	0.079172	-0.41883	-0.21099	-0.20389	-0.57379	0.4265	-0.32441	-0.27758	1.0303	-0.086883
Tin	0.5747	0.76063	1.4833	-0.17474	-0.56335	1.1853	-0.17847	-1.3393	0.90545	-0.41735	0.24096	-0.094177	0.85572	-0.98838	-0.78115	-0.60887	0.38225	0.9249	-0.28864	-0.6469	-0.68454	1.315	0.62375	-0.74853	0.45539	-2.4286	-1.1048	-0.25815	-0.93466
Phenelzine	-0.45292	1.3865	-0.50766	0.0047272	-0.40651	-0.37362	-0.025433	-0.13132	-0.26572	-0.35364	-0.4446	-0.36703	-0.052218	0.022532	-0.024434	-0.31744	0.59419	-0.17607	-0.12076	-0.18894	-0.26865	-0.23896	-0.0030961	-0.36373	-0.010204	-0.37306	-0.20815	0.0958	-0.063104
Orotate	-0.72658	-0.4026	0.43648	-0.69942	-0.23527	-0.31154	2.1191	-0.51077	0.81468	-0.60902	-0.54062	-0.099727	-0.29032	2.1496	-0.58851	0.068445	0.8288	-0.49322	-0.54153	-0.52856	-0.66006	-0.11796	5.8235	-0.55872	-0.67579	-0.72599	-0.75784	2.2159	-0.54853
"1,3-Diisopropylbenzene"	-0.40247	3.5114	-0.053215	0.65987	-0.60455	-0.8391	0.17198	-0.88962	0.60846	-0.45319	0.22208	0.80459	2.5975	-0.3656	-0.61584	-0.23005	0.20019	1.3002	-0.89348	6.9608	-0.026469	-0.59368	0.76405	-0.59785	0.36157	-0.60719	-0.69148	-0.13325	-0.070837
Paracetamol_sulfate	-0.36451	-0.35455	2.324	4.587	-0.33319	4.587	-0.34356	-0.2755	-0.33582	-0.12775	-0.34106	-0.33053	2.5867	-0.27302	-0.35028	-0.34588	-0.34764	-0.25728	-0.3522	-0.33236	-0.36606	4.587	-0.3153	-0.34655	3.0735	-0.36368	-0.063379	-0.32819	-0.33403
"4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one"	-0.75244	-0.32495	0.38948	0.59433	-0.34364	0.69998	-0.14655	-0.25144	-0.45715	-0.30548	-0.75833	-0.4758	0.21698	-0.22806	-0.57033	-0.62911	-0.40479	-0.44481	-0.55129	-0.53862	-0.61699	0.52204	-0.1201	-0.66039	0.08747	-0.37503	-0.22189	-0.17612	-0.52584
Indole-3-carboxilic_acid-O-sulphate	-0.44338	-0.74304	0.70505	0.86466	0.17208	0.048418	2.8734	-0.59297	-0.50679	-0.70638	-0.7537	-0.89153	-0.052214	2.6348	-0.34192	-0.55933	1.4539	-0.63312	-0.27598	-0.16127	-0.84349	0.09511	2.5892	-0.53144	-0.4369	-0.9372	-0.90369	2.6162	-0.22405
Dehydroisochalciporone	-0.37728	-0.30743	7.6332	-0.1783	-0.083169	-0.19515	0.42433	0.20629	-0.37446	0.20025	-0.36726	-0.033543	-0.15114	0.3583	-0.22401	-0.37317	0.1451	-0.19853	-0.24728	-0.23907	-0.11161	-0.23783	0.19038	-0.25237	-0.22145	-0.32109	0.082882	0.36018	-0.26687
Clodronate	-0.42214	0.31837	1.319	-0.0058142	-1.1366	0.22533	-0.53403	-1.1833	0.10285	-1.3504	-0.19349	-0.32854	0.23586	-0.50511	-0.56735	0.062825	-0.12939	1.4739	-0.82239	-0.58269	-1.2568	0.71619	0.15633	0.2783	0.26839	-1.2818	-0.91675	-0.70198	-1.1556
2-Hydroxyacetaminophen_sulfate	-0.4522	-0.43624	3.1489	5.3459	-0.32179	1.6073	-0.41137	-0.48538	-0.34592	-0.44001	-0.34579	-0.45994	0.84587	-0.40178	-0.41329	-0.39529	-0.41746	-0.18698	-0.41904	-0.38706	0.12359	1.2469	-0.35276	-0.46809	3.1848	-0.49767	-0.45994	-0.40485	-0.39419
Furosemide	-0.55961	-0.65881	4.2791	1.1486	-0.16123	0.41639	0.053244	-0.71511	-0.19305	-0.3814	-0.95473	-0.30537	-0.35591	0.050513	-0.30219	-0.42324	-0.42796	-0.10883	-0.37293	-0.079923	-0.81117	0.50522	0.28709	-0.44493	2.4323	-1.0405	-0.77396	-0.10564	-0.25044
"2-Methyl-1,4-naphthalenediol_bis(dihydrogen_phosphate)"	-1.1136	-0.6044	-0.1302	0.38974	0.062762	0.41506	1.2868	-0.74084	-0.61804	-1.0287	-0.90256	-0.38147	0.019726	1.1706	0.15293	-0.089068	1.1501	0.60187	0.23317	0.038214	-1.0424	0.55373	2.6075	-0.89868	1.3976	-1.2561	-0.97557	1.392	0.064415
4-Hydroxyestrone_sulfate	-0.50305	-0.51355	6.2623	0.48817	-0.22498	-0.069188	1.297	-0.35932	-0.44879	-0.38451	-0.4762	-0.38747	-0.41102	1.0546	-0.31324	-0.49116	0.51727	-0.40795	-0.30829	-0.27305	-0.51932	-0.12736	-0.17683	-0.28239	0.30952	-0.50707	-0.44979	1.2151	-0.33003
Glisoxepide	-0.66127	-1.0782	2.9719	0.185	0.69845	-0.34724	1.5425	0.78785	-1.6613	0.89303	-1.6562	-0.56111	-1.0851	1.5005	-0.56022	-1.2388	1.7915	-1.152	-0.67938	-0.2444	-1.2699	-0.78824	0.79188	-0.68287	0.59991	-0.37632	0.40501	1.4801	-0.45714
TG(8:0/8:0/i-12:0)	0.29036	1.1916	-0.3399	-0.42974	-0.083044	0.51068	-0.45918	-0.44846	-0.29004	-0.73838	0.51694	0.046367	0.72065	-0.020164	-0.47651	-0.78379	0.13275	-0.6835	-0.38189	-0.21052	-0.25591	0.29242	0.46136	-0.28847	-0.64188	-0.68148	-0.83329	0.36767	-0.37296
CE(11:1D3)	-0.86453	-3.8626	4.1204	0.70349	0.12797	-1.0965	1.7293	-0.824	-0.65619	-0.48797	-0.41334	-0.52586	-1.5065	0.67243	-0.44864	-0.1577	-0.84244	0.58219	-0.54311	-0.063849	-0.62545	-0.32976	-0.10313	0.16558	0.71935	-0.17261	-0.85215	0.081262	0.5249
SM(d18:1/24:0)	-0.74537	-1.0534	-0.29677	0.33136	-0.27466	-0.33251	-0.010806	-0.46848	-0.47519	-0.61778	-0.46674	-0.69006	-0.60565	0.33266	-0.33536	-0.29524	-0.64062	0.15576	-0.60289	0.094998	-0.5334	-0.17275	-0.035429	-0.65509	0.12871	-0.661	-0.66084	-0.17969	-0.41042
"PS(22:2(13Z,16Z)/24:1(15Z))"	-0.4164	-0.67181	-0.02937	-0.038136	-0.38297	-0.37246	-0.24648	-0.44628	-0.18992	-0.5582	-0.4684	-0.525	-0.41828	-0.29659	-0.26815	-0.27192	-0.43268	-0.25823	-0.19626	-0.19271	-0.3528	-0.17292	-0.17197	-0.27396	-0.15247	-0.5201	-0.43961	-0.1287	-0.16965
